title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Sousou no Frieren,葬送のフリーレン,葬送的芙莉莲,2023,Adventure|Drama|Fantasy|Comedy,9.28,1,822827,100.0,8.9,12.0,67529.0,92.67,8.5,20.0,33670.0,84.43
Sousou no Frieren 2nd Season,葬送のフリーレン 第2期,胆大党 第二季,2026,Adventure|Drama|Fantasy|History,9.16,2,61631,99.5,8.3,107.0,1303.0,29.33,7.3,116.0,8024.0,5.74
Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,钢之炼金术师 FULLMETAL ALCHEMIST,2009,Action|Adventure|Drama|Fantasy,9.11,3,2289821,99.0,,,,,8.8,4.0,23827.0,97.54
Steins;Gate,STEINS;GATE,命运石之门,2011,Drama|Sci-Fi|Suspense|Comedy,9.07,4,1507894,98.5,8.8,16.0,90568.0,90.0,8.8,5.0,38355.0,96.72
Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,进击的巨人 第三季 Part.2,2019,Action|Drama|Suspense|Adventure,9.05,5,1772354,98.0,8.1,134.0,21994.0,11.33,8.7,12.0,22065.0,90.98
Gintama°,銀魂°,,2015,Action|Comedy|Sci-Fi,9.05,6,270710,97.5,8.7,30.0,20494.0,80.67,,,,
Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,猎人,2011,Action|Adventure|Fantasy|Short,9.03,7,1957469,97.0,8.3,104.0,1970.0,31.33,8.2,42.0,6212.0,66.39
Gintama',銀魂',银魂',2011,Action|Comedy|Sci-Fi,9.02,8,255632,96.5,8.7,23.0,20494.0,85.33,8.7,11.0,13275.0,91.8
Gintama': Enchousen,銀魂' 延長戦,,2012,Action|Comedy|Sci-Fi,9.02,9,178220,96.0,8.7,37.0,20494.0,76.0,,,,
Gintama.,銀魂。,,2017,Action|Comedy|Sci-Fi,8.98,10,158940,95.5,8.7,28.0,20494.0,82.0,,,,
Bleach: Sennen Kessen-hen,BLEACH 千年血戦篇,,2022,Action|Adventure|Supernatural,8.98,11,372222,95.0,9.0,7.0,73289.0,96.0,,,,
