rank,title,title_jp,score,scored_by,members,year,genres,url
1,Sousou no Frieren,葬送のフリーレン,9.28,822827,1352289,2023,Adventure|Drama|Fantasy,https://myanimelist.net/anime/52991/Sousou_no_Frieren
2,Sousou no Frieren 2nd Season,葬送のフリーレン 第2期,9.16,61631,413099,2026,Adventure|Drama|Fantasy,https://myanimelist.net/anime/59978/Sousou_no_Frieren_2nd_Season
3,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,9.11,2289821,3645062,2009,Action|Adventure|Drama|Fantasy,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
5,Steins;Gate,STEINS;GATE,9.07,1507894,2786272,2011,Drama|Sci-Fi|Suspense,https://myanimelist.net/anime/9253/Steins_Gate
6,Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,9.05,1772354,2559931,2019,Action|Drama|Suspense,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
8,Gintama°,銀魂°,9.05,270710,686326,2015,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/28977/Gintama°
9,Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,9.03,1957469,3151302,2011,Action|Adventure|Fantasy,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11,Gintama',銀魂',9.02,255632,608318,2011,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/9969/Gintama
12,Gintama': Enchousen,銀魂' 延長戦,9.02,178220,355507,2012,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/15417/Gintama__Enchousen
15,Gintama.,銀魂。,8.98,158940,345838,2017,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/34096/Gintama
14,Bleach: Sennen Kessen-hen,BLEACH 千年血戦篇,8.98,372222,689848,2022,Action|Adventure|Supernatural,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
16,Kaguya-sama wa Kokurasetai: Ultra Romantic,かぐや様は告らせたい-ウルトラロマンティック-,8.96,625363,1094241,2022,Comedy|Romance,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
17,Fruits Basket: The Final,フルーツバスケット The Final,8.94,276961,556283,2021,Drama|Romance|Supernatural,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
18,Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,8.93,696419,1276886,2008,Drama|Romance,https://myanimelist.net/anime/4181/Clannad__After_Story
19,Gintama,銀魂,8.93,421702,1146163,2006,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/918/Gintama
21,Kusuriya no Hitorigoto 2nd Season,薬屋のひとりごと 第2期,8.91,241835,473218,2025,Drama|Mystery,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season
22,Code Geass: Hangyaku no Lelouch R2,コードギアス 反逆のルルーシュ R2,8.91,1287478,1936647,2008,Award Winning|Drama|Sci-Fi,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
23,3-gatsu no Lion 2nd Season,3月のライオン 第2シリーズ,8.9,214016,435489,2017,Drama,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
25,Monster,モンスター,8.89,502668,1307823,2004,Drama|Mystery|Suspense,https://myanimelist.net/anime/19/Monster
26,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,銀魂. 銀ノ魂篇 後半戦,8.88,106306,224015,2018,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen
29,Kusuriya no Hitorigoto,薬屋のひとりごと,8.85,452771,804441,2023,Drama|Mystery,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
30,Kingdom 3rd Season,キングダム 第3シリーズ,8.84,54370,131499,2020,Action,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
34,Vinland Saga Season 2,ヴィンランド・サガ SEASON2,8.82,469696,832985,2023,Action|Adventure|Drama,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
35,Gintama. Shirogane no Tamashii-hen,銀魂. 銀ノ魂篇,8.81,115162,235997,2018,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen
41,Mob Psycho 100 II,モブサイコ100 II,8.78,1078547,1708428,2019,Action|Comedy|Supernatural,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
38,Shingeki no Kyojin: The Final Season,進撃の巨人 The Final Season,8.78,1503457,2259992,2021,Action|Drama|Suspense,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
39,Vinland Saga,ヴィンランド・サガ,8.78,1044428,1790409,2019,Action|Adventure|Drama,https://myanimelist.net/anime/37521/Vinland_Saga
37,Hajime no Ippo,はじめの一歩 THE FIGHTING!,8.78,338326,685245,2000,Sports,https://myanimelist.net/anime/263/Hajime_no_Ippo
